section,row,id,label,romaji,meaning_en,image_path,audio_text
hiragana,a-row,a-ai,あい,ai,love,word-icons/hiragana/a-ai.webp,愛。
hiragana,a-row,a-ie,いえ,ie,house,word-icons/hiragana/a-ie.webp,家。
hiragana,a-row,a-ue,うえ,ue,up / above,word-icons/hiragana/a-ue.webp,
hiragana,a-row,a-ao,あお,ao,blue,word-icons/hiragana/a-ao.webp,青。
hiragana,ka-row,ka-aka,あか,aka,red,word-icons/hiragana/ka-aka.webp,赤。
hiragana,ka-row,ka-kao,かお,kao,face,word-icons/hiragana/ka-kao.webp,顔
hiragana,ka-row,ka-ika,いか,ika,squid,word-icons/hiragana/ka-ika.webp,イカ
hiragana,ka-row,ka-kagi,かぎ,kagi,key,word-icons/hiragana/ka-kagi.webp,鍵
hiragana,ka-row,ka-koko,ここ,koko,here,word-icons/hiragana/ka-koko.webp,
hiragana,ka-row,ka-gogo,ごご,gogo,afternoon,word-icons/hiragana/ka-gogo.webp,午後
hiragana,ka-row,ka-kau,かう,kau,to buy,word-icons/hiragana/ka-kau.webp,買う
hiragana,ka-row,ka-kiku,きく,kiku,to listen,word-icons/hiragana/ka-kiku.webp,聞く。
hiragana,ka-row,ka-eki,えき,eki,station,word-icons/hiragana/ka-eki.webp,駅
hiragana,ka-row,ka-gaikoku,がいこく,gaikoku,foreign country,word-icons/hiragana/ka-gaikoku.webp,外国
hiragana,sa-row,sa-asa,あさ,asa,morning,word-icons/hiragana/sa-asa.webp,朝
hiragana,sa-row,sa-isu,いす,isu,chair,word-icons/hiragana/sa-isu.webp,椅子
hiragana,sa-row,sa-kasa,かさ,kasa,umbrella,word-icons/hiragana/sa-kasa.webp,傘
hiragana,sa-row,sa-suki,すき,suki,to like,word-icons/hiragana/sa-suki.webp,好き
hiragana,sa-row,sa-sekai,せかい,sekai,world,word-icons/hiragana/sa-sekai.webp,世界。
hiragana,sa-row,sa-kazu,かず,kazu,number,word-icons/hiragana/sa-kazu.webp,
hiragana,sa-row,sa-okashi,おかし,okashi,snack,word-icons/hiragana/sa-okashi.webp,お菓子
hiragana,sa-row,sa-sake,さけ,sake,sake (alcohol),word-icons/hiragana/sa-sake.webp,
hiragana,sa-row,sa-sushi,すし,sushi,sushi,word-icons/hiragana/sa-sushi.webp,寿司。
hiragana,ta-row,ta-te,て,te,hand,word-icons/hiragana/ta-te.webp,手。
hiragana,ta-row,ta-kutsu,くつ,kutsu,shoes,word-icons/hiragana/ta-kutsu.webp,靴
hiragana,ta-row,ta-ito,いと,ito,thread,word-icons/hiragana/ta-ito.webp,糸。
hiragana,ta-row,ta-chizu,ちず,chizu,map,word-icons/hiragana/ta-chizu.webp,地図。
hiragana,ta-row,ta-tako,たこ,tako,octopus,word-icons/hiragana/ta-tako.webp,
hiragana,ta-row,ta-tsuki,つき,tsuki,moon,word-icons/hiragana/ta-tsuki.webp,月。
hiragana,ta-row,ta-soto,そと,soto,outside,word-icons/hiragana/ta-soto.webp,外
hiragana,ta-row,ta-uta,うた,uta,song,word-icons/hiragana/ta-uta.webp,歌
hiragana,ta-row,ta-shigoto,しごと,shigoto,job / work,word-icons/hiragana/ta-shigoto.webp,仕事
hiragana,ta-row,ta-chikatetsu,ちかてつ,chikatetsu,subway,word-icons/hiragana/ta-chikatetsu.webp,地下鉄。
hiragana,na-row,na-neko,ねこ,neko,cat,word-icons/hiragana/na-neko.webp,猫。
hiragana,na-row,na-inu,いぬ,inu,dog,word-icons/hiragana/na-inu.webp,犬
hiragana,na-row,na-sakana,さかな,sakana,fish,word-icons/hiragana/na-sakana.webp,魚
hiragana,na-row,na-natsu,なつ,natsu,summer,word-icons/hiragana/na-natsu.webp,夏。
hiragana,na-row,na-nani,なに,nani,what,word-icons/hiragana/na-nani.webp,
hiragana,na-row,na-kuni,くに,kuni,country,word-icons/hiragana/na-kuni.webp,国
hiragana,na-row,na-okane,おかね,okane,money,word-icons/hiragana/na-okane.webp,お金
hiragana,na-row,na-niku,にく,niku,meat,word-icons/hiragana/na-niku.webp,肉
hiragana,ha-row,ha-hana,はな,hana,flower,word-icons/hiragana/ha-hana.webp,花
hiragana,ha-row,ha-hito,ひと,hito,person,word-icons/hiragana/ha-hito.webp,人
hiragana,ha-row,ha-hoshi,ほし,hoshi,star,word-icons/hiragana/ha-hoshi.webp,星。
hiragana,ha-row,ha-kutsushita,くつした,kutsushita,socks,word-icons/hiragana/ha-kutsushita.webp,靴下
hiragana,ha-row,ha-fune,ふね,fune,boat,word-icons/hiragana/ha-fune.webp,船。
hiragana,ha-row,ha-buta,ぶた,buta,pig,word-icons/hiragana/ha-buta.webp,豚
hiragana,ha-row,ha-haha,はは,haha,mother,word-icons/hiragana/ha-haha.webp,母。
hiragana,ha-row,ha-hebi,へび,hebi,snake,word-icons/hiragana/ha-hebi.webp,蛇。
hiragana,ha-row,ha-soba,そば,soba,soba noodles,word-icons/hiragana/ha-soba.webp,蕎麦
hiragana,ma-row,ma-mizu,みず,mizu,water,word-icons/hiragana/ma-mizu.webp,水
hiragana,ma-row,ma-ame,あめ,ame,rain,word-icons/hiragana/ma-ame.webp,雨
hiragana,ma-row,ma-kumo,くも,kumo,cloud,word-icons/hiragana/ma-kumo.webp,雲。
hiragana,ma-row,ma-mado,まど,mado,window,word-icons/hiragana/ma-mado.webp,窓
hiragana,ma-row,ma-mimi,みみ,mimi,ear,word-icons/hiragana/ma-mimi.webp,
hiragana,ma-row,ma-tamago,たまご,tamago,egg,word-icons/hiragana/ma-tamago.webp,卵
hiragana,ma-row,ma-kudamono,くだもの,kudamono,fruit,word-icons/hiragana/ma-kudamono.webp,果物。
hiragana,ma-row,ma-namae,なまえ,namae,name,word-icons/hiragana/ma-namae.webp,名前。
hiragana,ma-row,ma-nezumi,ねずみ,nezumi,mouse,word-icons/hiragana/ma-nezumi.webp,ネズミ
hiragana,ma-row,ma-megane,めがね,megane,glasses,word-icons/hiragana/ma-megane.webp,眼鏡。
hiragana,ma-row,ma-tomodachi,ともだち,tomodachi,friend,word-icons/hiragana/ma-tomodachi.webp,友達
hiragana,ma-row,ma-sashimi,さしみ,sashimi,sashimi,word-icons/hiragana/ma-sashimi.webp,刺身。
hiragana,ya-row,ya-yama,やま,yama,mountain,word-icons/hiragana/ya-yama.webp,山。
hiragana,ya-row,ya-yuki,ゆき,yuki,snow,word-icons/hiragana/ya-yuki.webp,雪
hiragana,ya-row,ya-yasai,やさい,yasai,vegetable,word-icons/hiragana/ya-yasai.webp,野菜
hiragana,ya-row,ya-yume,ゆめ,yume,dream,word-icons/hiragana/ya-yume.webp,夢
hiragana,ya-row,ya-oyogu,およぐ,oyogu,to swim,word-icons/hiragana/ya-oyogu.webp,泳ぐ
hiragana,ya-row,ya-hayai,はやい,hayai,fast,word-icons/hiragana/ya-hayai.webp,速い。
hiragana,ya-row,ya-okonomiyaki,おこのみやき,okonomiyaki,okonomiyaki (savory pancake),word-icons/hiragana/ya-okonomiyaki.webp,お好み焼き
hiragana,ya-row,ya-takoyaki,たこやき,takoyaki,takoyaki (octopus balls),word-icons/hiragana/ya-takoyaki.webp,たこ焼き
hiragana,ra-row,ra-sakura,さくら,sakura,cherry blossom,word-icons/hiragana/ra-sakura.webp,桜。
hiragana,ra-row,ra-kuruma,くるま,kuruma,car,word-icons/hiragana/ra-kuruma.webp,車
hiragana,ra-row,ra-tori,とり,tori,bird,word-icons/hiragana/ra-tori.webp,鳥。
hiragana,ra-row,ra-iro,いろ,iro,color,word-icons/hiragana/ra-iro.webp,色
hiragana,ra-row,ra-shiro,しろ,shiro,white,word-icons/hiragana/ra-shiro.webp,白
hiragana,ra-row,ra-sora,そら,sora,sky,word-icons/hiragana/ra-sora.webp,空
hiragana,ra-row,ra-yoru,よる,yoru,night,word-icons/hiragana/ra-yoru.webp,夜
hiragana,ra-row,ra-karaage,からあげ,karaage,fried chicken,word-icons/hiragana/ra-karaage.webp,唐揚げ。
hiragana,ra-row,ra-misoshiru,みそしる,misoshiru,miso soup,word-icons/hiragana/ra-misoshiru.webp,味噌汁
hiragana,ra-row,ra-onigiri,おにぎり,onigiri,rice ball,word-icons/hiragana/ra-onigiri.webp,
