id,kana,romaji,stage,path,repositoryPath,sourceFile,sourceOrder,durationSeconds,format,sampleRateHz,channels,bitDepth
sushi,すし,sushi,hiragana,/audio/restaurant/hiragana/sushi.wav,public/audio/restaurant/hiragana/sushi.wav,Menu_Hiragana.mp3,1,0.72,wav,24000,1,16
soba,そば,soba,hiragana,/audio/restaurant/hiragana/soba.wav,public/audio/restaurant/hiragana/soba.wav,Menu_Hiragana.mp3,2,0.66,wav,24000,1,16
udon,うどん,udon,hiragana,/audio/restaurant/hiragana/udon.wav,public/audio/restaurant/hiragana/udon.wav,Menu_Hiragana.mp3,3,0.695,wav,24000,1,16
tenpura,てんぷら,tenpura,hiragana,/audio/restaurant/hiragana/tenpura.wav,public/audio/restaurant/hiragana/tenpura.wav,Menu_Hiragana.mp3,4,0.79,wav,24000,1,16
onigiri,おにぎり,onigiri,hiragana,/audio/restaurant/hiragana/onigiri.wav,public/audio/restaurant/hiragana/onigiri.wav,Menu_Hiragana.mp3,5,0.86,wav,24000,1,16
yakitori,やきとり,yakitori,hiragana,/audio/restaurant/hiragana/yakitori.wav,public/audio/restaurant/hiragana/yakitori.wav,Menu_Hiragana.mp3,6,0.875,wav,24000,1,16
sashimi,さしみ,sashimi,hiragana,/audio/restaurant/hiragana/sashimi.wav,public/audio/restaurant/hiragana/sashimi.wav,Menu_Hiragana.mp3,7,0.8,wav,24000,1,16
tonkatsu,とんかつ,tonkatsu,hiragana,/audio/restaurant/hiragana/tonkatsu.wav,public/audio/restaurant/hiragana/tonkatsu.wav,Menu_Hiragana.mp3,8,0.865,wav,24000,1,16
oden,おでん,oden,hiragana,/audio/restaurant/hiragana/oden.wav,public/audio/restaurant/hiragana/oden.wav,Menu_Hiragana.mp3,9,0.675,wav,24000,1,16
edamame,えだまめ,edamame,hiragana,/audio/restaurant/hiragana/edamame.wav,public/audio/restaurant/hiragana/edamame.wav,Menu_Hiragana.mp3,10,0.85,wav,24000,1,16
misoshiru,みそしる,misoshiru,hiragana,/audio/restaurant/hiragana/misoshiru.wav,public/audio/restaurant/hiragana/misoshiru.wav,Menu_Hiragana.mp3,11,0.865,wav,24000,1,16
karee,カレー,karee,katakana,/audio/restaurant/katakana/karee.wav,public/audio/restaurant/katakana/karee.wav,Menu_Katakana.mp3,1,0.785,wav,24000,1,16
pasuta,パスタ,pasuta,katakana,/audio/restaurant/katakana/pasuta.wav,public/audio/restaurant/katakana/pasuta.wav,Menu_Katakana.mp3,2,0.65,wav,24000,1,16
sarada,サラダ,sarada,katakana,/audio/restaurant/katakana/sarada.wav,public/audio/restaurant/katakana/sarada.wav,Menu_Katakana.mp3,3,0.68,wav,24000,1,16
piza,ピザ,piza,katakana,/audio/restaurant/katakana/piza.wav,public/audio/restaurant/katakana/piza.wav,Menu_Katakana.mp3,4,0.525,wav,24000,1,16
suupu,スープ,suupu,katakana,/audio/restaurant/katakana/suupu.wav,public/audio/restaurant/katakana/suupu.wav,Menu_Katakana.mp3,5,0.72,wav,24000,1,16
hanbaagaa,ハンバーガー,hanbaagaa,katakana,/audio/restaurant/katakana/hanbaagaa.wav,public/audio/restaurant/katakana/hanbaagaa.wav,Menu_Katakana.mp3,6,0.965,wav,24000,1,16
suteeki,ステーキ,suteeki,katakana,/audio/restaurant/katakana/suteeki.wav,public/audio/restaurant/katakana/suteeki.wav,Menu_Katakana.mp3,7,0.76,wav,24000,1,16
poteto,ポテト,poteto,katakana,/audio/restaurant/katakana/poteto.wav,public/audio/restaurant/katakana/poteto.wav,Menu_Katakana.mp3,8,0.64,wav,24000,1,16
chikin,チキン,chikin,katakana,/audio/restaurant/katakana/chikin.wav,public/audio/restaurant/katakana/chikin.wav,Menu_Katakana.mp3,9,0.635,wav,24000,1,16
raamen,ラーメン,raamen,katakana,/audio/restaurant/katakana/raamen.wav,public/audio/restaurant/katakana/raamen.wav,Menu_Katakana.mp3,10,0.705,wav,24000,1,16
koohii,コーヒー,koohii,katakana,/audio/restaurant/katakana/koohii.wav,public/audio/restaurant/katakana/koohii.wav,Menu_Katakana.mp3,11,0.815,wav,24000,1,16
